team,conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l
Abilene Christian,WAC,108,135,-8.01,0,1,0,0,2,0,18,9
Air Force,Mountain West,213,248,-14.73,0,0,0,2,1,9,14,7
Akron,MAC,292,321,-19.96,0,2,0,2,0,4,5,16
Alabama,SEC,27,20,4.64,5,8,4,1,4,1,10,0
Alabama A&M,SWAC,209,114,-6.43,0,3,0,1,0,1,19,5
Alabama St.,SWAC,297,165,-9.51,0,5,0,0,0,1,15,8
Albany,America East,188,216,-12.55,0,2,0,1,0,3,13,10
Alcorn St.,SWAC,308,162,-9.38,0,3,0,1,0,1,14,8
American,Patriot,318,340,-21.36,0,1,0,0,0,2,7,20
Appalachian St.,Sun Belt,193,246,-14.62,0,3,0,3,0,3,9,10
Arizona,Big 12,121,148,-8.77,0,5,1,8,2,2,9,3
Arizona St,Big 12,51,42,0.84,1,6,6,2,5,2,12,0
Arkansas,SEC,104,119,-7.05,0,11,0,4,3,3,9,2
Arkansas Pine Bluff,SWAC,323,237,-14.03,0,1,0,1,0,2,14,12
Arkansas St.,Sun Belt,92,103,-5.82,0,0,1,2,1,6,21,1
Army West Point,Patriot,125,100,-5.24,0,1,0,0,0,2,23,4
Auburn,SEC,86,73,-2.99,0,12,4,4,1,1,10,0
Austin Peay,ASUN,156,188,-10.68,0,1,0,0,0,3,17,9
Ball St.,MAC,68,77,-3.26,0,2,0,2,3,1,22,2
Baylor,Big 12,32,21,4.34,3,6,6,2,4,0,11,0
Bellarmine,ASUN,362,358,-25.06,0,4,0,0,0,4,1,22
Belmont,MVC,106,104,-5.87,0,5,0,1,1,3,19,3
Bethune Cookman,SWAC,345,346,-22.04,0,2,0,2,0,0,5,21
Binghamton,America East,177,140,-8.60,0,2,0,1,1,1,16,8
Boise St.,Mountain West,122,109,-6.04,0,0,0,3,1,3,23,3
Boston College,ACC,244,270,-16.06,0,7,0,7,0,6,5,6
Boston University,Patriot,285,300,-17.87,0,1,0,0,0,4,10,15
Bowling Green,MAC,189,186,-10.45,0,1,0,2,0,6,13,5
Bradley,MVC,159,155,-9.25,0,1,0,0,0,6,19,5
Brown,Ivy League,139,120,-7.28,0,1,0,4,1,3,14,3
Bryant,America East,163,190,-10.74,0,0,0,0,0,2,16,10
Bucknell,Patriot,298,279,-16.94,0,1,0,0,0,4,10,14
Buffalo,MAC,310,355,-23.74,0,1,0,2,0,5,3,19
Butler,Big East,134,202,-11.55,0,4,0,4,2,5,10,6
BYU,Big 12,56,46,0.15,0,5,8,4,2,1,12,1
CA Baptist,WAC,118,125,-7.48,0,1,0,1,2,2,21,6
Cal Poly,Big West,338,343,-21.69,0,3,0,2,0,3,2,18
Cal St. Bakersfield,Big West,306,338,-21.16,0,0,0,2,0,4,6,17
Cal St. Fullerton,Big West,195,212,-12.37,0,0,0,1,0,3,16,10
Cal St. Northridge,Big West,277,301,-17.89,0,0,0,2,0,6,8,12
California,ACC,52,66,-2.65,1,8,3,4,2,2,13,0
Campbell,CAA,217,187,-10.50,0,0,0,1,1,1,17,10
Canisius,MAAC,341,331,-20.77,0,2,0,2,0,3,5,17
Central Arkansas,ASUN,105,153,-9.07,0,0,0,1,1,3,18,7
Central Connecticut,NEC,361,359,-25.30,0,1,0,0,0,2,2,24
Central Michigan,MAC,120,121,-7.31,0,3,0,2,1,2,16,5
Charleston,CAA,101,78,-3.44,0,0,0,1,2,0,22,4
Charleston Southern,Big South,332,313,-18.66,0,2,0,2,0,3,7,15
Charlotte,American,171,222,-12.87,0,3,0,3,1,4,13,8
Chattanooga,SoCon,208,144,-8.72,0,0,0,2,0,0,18,8
Chicago St.,NEC,346,328,-20.64,0,1,0,1,0,2,9,19
Cincinnati,Big 12,109,164,-9.49,0,4,3,9,0,3,7,4
Clemson,ACC,41,36,1.34,2,10,4,1,1,0,14,0
Cleveland St.,Horizon,152,128,-7.64,0,0,0,0,1,1,21,8
Coastal Carolina,Sun Belt,143,226,-13.19,0,3,0,3,0,5,12,7
Colgate,Patriot,322,344,-21.77,0,1,0,1,0,4,6,18
Colorado,Big 12,46,41,0.86,2,5,6,3,3,2,11,1
Colorado St.,Mountain West,70,79,-3.52,0,0,1,2,3,4,22,1
Columbia,Ivy League,59,63,-2.51,1,1,4,3,0,3,15,1
Coppin St.,MEAC,294,286,-17.24,0,5,0,1,0,1,8,16
Cornell,Ivy League,299,242,-14.25,0,2,1,2,1,3,6,11
Creighton,Big East,91,113,-6.31,0,5,1,4,3,3,12,3
Dartmouth,Ivy League,321,231,-13.75,0,1,0,3,0,4,7,9
Davidson,Atlantic 10,73,105,-5.90,0,3,0,5,3,2,18,2
Dayton,Atlantic 10,168,178,-10.06,0,0,1,6,1,1,15,7
Delaware,CUSA,238,281,-16.98,0,0,0,1,0,4,12,14
Delaware St.,MEAC,344,336,-21.11,0,1,0,0,0,1,4,21
Denver,Summit League,287,260,-15.36,0,1,0,4,0,3,8,11
DePaul,Big East,201,271,-16.18,0,5,0,3,1,5,7,11
Detroit Mercy,Horizon,303,325,-20.35,0,1,0,0,0,3,7,19
Drake,MVC,212,266,-15.77,0,2,0,1,0,6,12,11
Drexel,CAA,166,149,-8.78,0,0,0,0,0,3,20,7
Duke,ACC,8,10,7.94,8,7,6,1,2,0,8,0
Duquesne,Atlantic 10,242,269,-15.90,0,1,0,2,1,4,9,12
East Carolina,American,116,130,-7.68,0,0,0,1,2,2,20,7
East Tennessee St.,SoCon,248,180,-10.21,0,3,0,0,0,0,16,10
East Texas A&M,Southland,290,244,-14.42,0,2,0,0,0,2,11,13
Eastern Illinois,OVC,316,352,-22.88,0,2,0,2,0,5,4,18
Eastern Kentucky,ASUN,110,106,-5.90,0,1,0,0,1,1,21,6
Eastern Michigan,MAC,196,214,-12.51,0,1,0,3,0,4,12,8
Eastern Washington,Big Sky,210,252,-15.02,0,0,0,3,1,4,12,11
Elon,CAA,220,234,-13.92,0,1,0,0,0,3,15,12
Evansville,MVC,264,333,-20.92,0,1,0,1,1,4,9,18
Fairfield,MAAC,53,45,0.28,2,2,0,0,3,1,23,1
FDU,NEC,136,65,-2.58,0,1,0,1,0,0,27,2
FIU,CUSA,173,152,-9.06,0,0,0,2,0,2,19,7
Florida,SEC,48,60,-2.24,2,10,1,1,3,3,12,1
Florida A&M,SWAC,339,324,-20.31,0,0,0,2,0,1,8,19
Florida Atlantic,American,239,249,-14.82,0,0,0,3,1,5,12,10
Florida Gulf Coast,ASUN,157,194,-10.92,0,1,1,2,1,4,12,8
Florida St.,ACC,107,138,-8.38,0,9,0,9,3,2,7,1
Fordham,Atlantic 10,259,276,-16.54,0,1,0,5,0,2,9,12
Fresno St.,Mountain West,174,238,-14.12,0,1,0,4,0,6,14,7
Furman,SoCon,247,170,-9.72,0,2,0,3,0,0,14,8
Gardner Webb,Big South,328,296,-17.72,0,1,0,0,0,1,12,17
George Mason,Atlantic 10,60,58,-2.10,1,3,3,3,2,1,17,2
George Washington,Atlantic 10,172,224,-12.96,0,0,1,5,0,3,13,9
Georgetown,Big East,95,150,-8.86,0,5,1,3,2,3,11,6
Georgia,SEC,34,25,3.13,3,8,2,1,6,0,11,0
Georgia Southern,Sun Belt,76,64,-2.51,0,2,2,2,1,2,19,1
Georgia St.,Sun Belt,232,278,-16.73,0,2,1,3,0,3,7,13
Georgia Tech,ACC,74,107,-5.98,1,9,2,6,2,2,9,1
Gonzaga,WCC,61,86,-4.12,0,0,1,5,5,4,18,0
Grambling St.,SWAC,304,280,-16.97,0,1,0,1,0,3,10,14
Grand Canyon,Mountain West,133,228,-13.70,0,2,0,4,3,4,10,9
Green Bay,Horizon,97,87,-4.12,0,2,1,2,0,1,23,3
Hampton,CAA,311,322,-20.00,0,0,0,0,0,2,7,19
